x,y,z
-11.4663,8.44088,-135.801
-14.5788,9.18736,-133.374
-14.5787,9.18635,-133.372
-14.5787,9.18635,-133.372
-14.5788,9.18849,-133.373
-14.5778,9.18571,-133.371
-14.5774,9.18723,-133.372
-14.5788,9.18879,-133.372
-13.8569,8.72509,-133.634
-13.8563,8.725,-133.635
-14.5761,9.18665,-133.371
-14.5761,9.18665,-133.371
-14.5768,9.18847,-133.372
-7.54618,9.02069,-140.242
-7.54728,9.02114,-140.239
-7.55221,9.02526,-140.236
-7.5506,9.02512,-140.236
-7.5476,9.02199,-140.235
-7.54443,9.0218,-140.236
-7.54443,9.0218,-140.236
-7.5484,9.02717,-140.238
-7.54667,9.02208,-140.232
-7.54396,9.02863,-140.238
-7.54423,9.02304,-140.232
-7.54385,9.02773,-140.236
-7.54269,9.02469,-140.234
-14.6191,9.26051,-133.278
-14.6194,9.26125,-133.278
-7.21053,10.0105,-141.479
-7.20985,10.0116,-141.478
-9.73992,9.35355,-138.24
-9.74084,9.35429,-138.235
-9.74084,9.35429,-138.235
-9.74254,9.35982,-138.236
-9.74218,9.35354,-138.23
-9.7393,9.36002,-138.235
-14.1192,8.71406,-133.12
-14.1189,8.71507,-133.121
-14.1171,8.71622,-133.12
-6.88764,11.0007,-142.72
-14.66,9.33491,-133.184
-14.66,9.33491,-133.184
-14.66,9.33491,-133.184
-14.66,9.33594,-133.185
-14.6601,9.33572,-133.184
-14.6602,9.3369,-133.184
-14.6602,9.3369,-133.184
-6.87692,10.9978,-142.724
-6.88593,11.0051,-142.721
-6.88593,11.0051,-142.721
-6.87575,11.0029,-142.728
-6.87588,11.0006,-142.72
-6.87588,11.0006,-142.72
-12.8316,8.51675,-134.189
-12.829,8.51646,-134.19
-12.829,8.51646,-134.19
-12.8327,8.51703,-134.186
-14.664,9.33659,-133.158
-14.6643,9.33714,-133.158
-12.8306,8.51662,-134.187
-12.8306,8.51662,-134.187
-12.8306,8.51662,-134.187
-12.8282,8.51653,-134.188
-12.8318,8.51707,-134.184
-12.8318,8.51707,-134.184
-12.831,8.51707,-134.184
-12.831,8.51707,-134.184
-12.8291,8.51682,-134.185
-12.8301,8.51701,-134.183
-12.8301,8.51701,-134.183
-12.8297,8.52185,-134.187
-14.6684,9.33858,-133.132
-14.6684,9.33858,-133.132
-14.6674,9.33795,-133.131
-14.6668,9.33878,-133.132
-14.6686,9.3401,-133.132
-14.6668,9.33875,-133.132
-14.668,9.33977,-133.131
-14.6425,9.29229,-133.052
-14.6428,9.29281,-133.052
-9.47093,9.28246,-138.247
-14.617,9.24627,-132.973
-14.617,9.24627,-132.973
-14.617,9.24627,-132.973
-14.6166,9.24614,-132.973
-14.6172,9.24717,-132.973
-14.6166,9.24596,-132.972
-14.6161,9.24574,-132.973
-14.6161,9.24574,-132.973
-14.6173,9.24705,-132.972
-14.6173,9.24785,-132.973
-14.6173,9.24785,-132.973
-14.6166,9.24746,-132.972
-14.6151,9.24663,-132.973
-14.4175,9.17807,-133.024
-14.4176,9.17815,-133.024
-11.0953,8.56294,-135.758
-11.096,8.56261,-135.756
-14.6394,9.25043,-132.833
-14.6397,9.25098,-132.833
-12.2941,16.6466,-142.627
-12.2938,16.6461,-142.626
-9.20039,9.21066,-138.262
-9.20039,9.21066,-138.262
-9.19767,9.21037,-138.264
-11.8283,15.5589,-141.985
-9.19962,9.21056,-138.259
-9.20157,9.21072,-138.257
-11.8279,15.5595,-141.984
-9.20027,9.21717,-138.263
-9.19977,9.21725,-138.262
-12.8313,13.024,-138.364
-12.8292,13.0237,-138.364
-12.8356,13.0299,-138.364
-14.7085,9.16386,-132.558
-14.7085,9.16386,-132.558
-14.7073,9.16335,-132.558
-14.708,9.16338,-132.558
-14.6624,9.2545,-132.695
-14.6624,9.2545,-132.695
-14.6851,9.20926,-132.626
-14.6855,9.20972,-132.626
-14.6622,9.25493,-132.694
-14.6622,9.25493,-132.694
-14.6622,9.25493,-132.694
-14.6622,9.25493,-132.694
-14.7079,9.16486,-132.557
-14.7079,9.16486,-132.557
-14.6611,9.25428,-132.694
-14.7064,9.16452,-132.558
-14.7076,9.16557,-132.557
-14.6626,9.25629,-132.693
-14.6614,9.25623,-132.694
-14.6606,9.2551,-132.693
-14.6602,9.25529,-132.694
-7.68854,16.9273,-147.449
-7.33759,16.1472,-147.018
-7.33802,16.1484,-147.014
-7.33867,16.1461,-147.011
-14.1752,9.0211,-132.865
-14.1742,9.02063,-132.864
-14.1748,9.02124,-132.864
-14.1748,9.02124,-132.864
-14.1745,9.02225,-132.865
-14.1738,9.02119,-132.864
-14.1735,9.02213,-132.865
-14.1741,9.02235,-132.864
-14.1748,9.02336,-132.839
-14.1743,9.02333,-132.839
-14.5453,10.2979,-133.744
-14.5451,10.2991,-133.744
-14.5451,10.2991,-133.744
-14.5448,10.2996,-133.745
-14.5442,10.3001,-133.744
-14.5445,10.3001,-133.744
-14.1751,9.02571,-132.815
-14.1746,9.0253,-132.814
-14.1742,9.02518,-132.814
-14.1742,9.02518,-132.814
-14.1747,9.02635,-132.814
-14.1736,9.02534,-132.814
-14.1749,9.02615,-132.813
-14.1749,9.02615,-132.813
-14.1731,9.02568,-132.814
-14.1739,9.02626,-132.814
-14.1739,9.02626,-132.814
-14.1739,9.02626,-132.814
-14.1739,9.02626,-132.814
-12.293,8.51144,-134.133
-12.2934,8.51158,-134.131
-14.1391,8.93539,-132.689
-14.1391,8.93539,-132.689
-14.1391,8.93531,-132.688
-14.1391,8.93531,-132.688
-14.1386,8.935,-132.688
-14.1386,8.935,-132.688
-14.1386,8.935,-132.688
-14.1386,8.935,-132.688
-14.1386,8.93535,-132.688
-14.1386,8.93487,-132.688
-14.1381,8.93543,-132.688
-14.1381,8.93543,-132.688
-14.1393,8.93597,-132.687
-14.1393,8.93597,-132.687
-14.1381,8.93562,-132.688
-14.1375,8.93561,-132.688
-14.1375,8.93561,-132.688
-14.1383,8.93608,-132.688
-14.121,8.93061,-132.692
-14.121,8.93061,-132.692
-14.121,8.93061,-132.692
-14.1219,8.93159,-132.691
-14.1219,8.93159,-132.691
-14.1213,8.93136,-132.691
-14.1213,8.93136,-132.691
-14.1214,8.93123,-132.691
-14.1214,8.93123,-132.691
-14.1207,8.93104,-132.691
-14.1207,8.93104,-132.691
-14.1207,8.93104,-132.691
-14.1207,8.93104,-132.691
-14.1207,8.93104,-132.691
-14.1208,8.9314,-132.691
-14.1213,8.9322,-132.691
-14.1207,8.93091,-132.69
-14.1214,8.93161,-132.69
-14.1214,8.93161,-132.69
-14.1203,8.93117,-132.69
-14.1203,8.93166,-132.691
-14.1197,8.93147,-132.69
-14.1197,8.93147,-132.69
-14.1197,8.93156,-132.69
-14.1202,8.93205,-132.69
-14.1426,8.88516,-132.61
-14.1432,8.88622,-132.61
-14.1432,8.88622,-132.61
-14.142,8.88618,-132.61
-14.142,8.88618,-132.61
-14.1417,8.88676,-132.61
-14.1417,8.88676,-132.61
-13.6291,8.71896,-132.95
-13.6276,8.71979,-132.952
-13.6276,8.71979,-132.952
-13.628,8.71865,-132.95
-13.628,8.71865,-132.95
-13.6269,8.71851,-132.951
-13.627,8.71929,-132.951
-13.627,8.71929,-132.951
-13.627,8.71929,-132.951
-13.6286,8.71951,-132.95
-13.6274,8.71927,-132.949
-13.6278,8.71976,-132.949
-13.6281,8.72181,-132.95
-9.12504,18.8592,-147.643
-9.12604,18.8612,-147.643
-14.7297,8.96941,-132.023
-14.7303,8.96929,-132.022
-14.7303,8.96929,-132.022
-14.7293,8.96897,-132.023
-14.7287,8.96981,-132.022
-14.7294,8.971,-132.021
-14.6438,10.4066,-133.54
-14.6437,10.4074,-133.541
-14.7546,10.1486,-133.133
-14.7522,10.1488,-133.132
-14.7522,10.1488,-133.132
-14.7522,10.1488,-133.132
-13.8111,11.7786,-135.708
-13.804,11.7746,-135.707
-10.7237,8.69201,-135.716
-10.7251,8.69087,-135.711
-10.7251,8.69087,-135.711
-10.7281,8.69416,-135.711
-10.7281,8.69416,-135.711
-10.7261,8.69071,-135.708
-10.726,8.69552,-135.711
-10.7272,8.69682,-135.71
-14.1462,9.11351,-132.657
-14.1459,9.11365,-132.657
-14.137,9.11166,-132.658
-14.7039,8.93671,-131.888
-14.7042,8.93713,-131.888
-14.8441,9.44421,-132.255
-14.8442,9.44466,-132.255
-11.4883,14.9508,-141.177
-11.4815,14.946,-141.178
-11.4847,14.9514,-141.18
-11.4851,14.9513,-141.179
-14.7091,10.0545,-132.956
-14.7078,10.0537,-132.955
-14.7074,10.0547,-132.956
-14.7069,10.0548,-132.955
-14.2594,8.72986,-132.071
-14.26,8.72988,-132.07
-14.2591,8.72947,-132.07
-14.2591,8.72947,-132.07
-14.26,8.73124,-132.07
-14.2585,8.7309,-132.07
-14.7424,10.5128,-133.337
-14.7426,10.5138,-133.337
-14.7426,10.5153,-133.337
-14.7426,10.5153,-133.337
-14.7399,10.5156,-133.336
-11.8098,16.1614,-141.964
-11.8086,16.1625,-141.961
-11.8086,16.1625,-141.961
-11.8058,16.1641,-141.962
-14.6778,8.90434,-131.754
-14.6778,8.90434,-131.754
-14.6769,8.90395,-131.754
-14.6761,8.90495,-131.754
-14.6772,8.90554,-131.753
-14.855,9.34708,-131.988
-14.8551,9.34729,-131.987
-14.1538,9.29221,-132.625
-14.1538,9.29221,-132.625
-11.5797,20.8143,-146.719
-11.5777,20.8182,-146.721
-11.5792,20.822,-146.72
-11.5792,20.822,-146.72
-14.2142,8.70619,-131.855
-14.2137,8.70621,-131.856
-14.8989,9.85568,-132.286
-14.8984,9.85591,-132.285
-14.8984,9.85591,-132.285
-14.8993,9.85697,-132.285
-14.8993,9.85697,-132.285
-14.8988,9.85729,-132.284
-14.8976,9.85716,-132.284
-14.8974,9.85727,-132.284
-14.8668,9.93831,-132.386
-14.8667,9.93873,-132.385
-7.08183,16.9231,-147.271
-11.7548,8.50645,-134.081
-14.8341,10.0188,-132.487
-7.08692,16.9252,-147.266
-14.8341,10.0196,-132.487
-7.08022,16.9246,-147.271
-7.08022,16.9246,-147.271
-11.7561,8.50635,-134.077
-11.7561,8.50635,-134.077
-14.8345,10.0203,-132.486
-14.8345,10.0203,-132.486
-14.8342,10.0206,-132.487
-14.8341,10.0207,-132.486
-14.6336,10.5731,-133.244
-14.6334,10.5734,-133.244
-7.08064,16.9258,-147.268
-14.8323,10.0206,-132.486
-14.8323,10.0206,-132.486
-11.7569,8.50682,-134.073
-11.756,8.51154,-134.078
-11.7561,8.51129,-134.077
-11.7573,8.51253,-134.077
-11.7561,8.5068,-134.073
-7.08272,16.925,-147.263
-11.7552,8.50673,-134.072
-7.0788,16.9317,-147.271
-14.6016,8.89536,-131.56
-14.9394,9.7907,-132.119
-14.6019,8.89581,-131.56
-14.9394,9.79109,-132.119
